# GTA IV Functions extracted by Ghidra
# Format: address,name
0x82120000,FUN_82120000
0x821200A8,FUN_821200a8
0x821200D0,FUN_821200d0
0x82120220,FUN_82120220
0x82120268,FUN_82120268
0x82120C48,FUN_82120c48
0x82120EE8,FUN_82120ee8
0x82120FB8,FUN_82120fb8
0x821212A8,FUN_821212a8
0x82121950,FUN_82121950
0x82121C10,FUN_82121c10
0x82122CA0,FUN_82122ca0
0x821233F0,FUN_821233f0
0x82124080,FUN_82124080
0x82124480,FUN_82124480
0x82124EF0,FUN_82124ef0
0x82124FB0,FUN_82124fb0
0x82125040,FUN_82125040
0x821250B0,FUN_821250b0
0x821251A0,FUN_821251a0
0x82125318,FUN_82125318
0x82125478,FUN_82125478
0x821255F8,FUN_821255f8
0x821256A8,FUN_821256a8
0x82125DA8,FUN_82125da8
0x82125F28,FUN_82125f28
0x82126000,FUN_82126000
0x82126498,FUN_82126498
0x82126508,FUN_82126508
0x821265F0,FUN_821265f0
0x821266A0,FUN_821266a0
0x82126750,FUN_82126750
0x821267D8,FUN_821267d8
0x821268B0,FUN_821268b0
0x82126940,FUN_82126940
0x82126B90,FUN_82126b90
0x82126CB0,FUN_82126cb0
0x82126D10,FUN_82126d10
0x82126D70,FUN_82126d70
0x82126F58,FUN_82126f58
0x82128208,FUN_82128208
0x82128238,FUN_82128238
0x82128260,FUN_82128260
0x821282B0,FUN_821282b0
0x82128400,FUN_82128400
0x82128478,FUN_82128478
0x82128590,FUN_82128590
0x82129E50,FUN_82129e50
0x8212A168,FUN_8212a168
0x8212A498,FUN_8212a498
0x8212ABF0,FUN_8212abf0
0x8212E840,FUN_8212e840
0x8212EDC8,FUN_8212edc8
0x8212F578,FUN_8212f578
0x8212F818,FUN_8212f818
0x8212F8D8,FUN_8212f8d8
0x8212FB78,FUN_8212fb78
0x8212FC40,FUN_8212fc40
0x8212FCC8,FUN_8212fcc8
0x82130448,FUN_82130448
0x82132710,FUN_82132710
0x82132880,FUN_82132880
0x82132958,FUN_82132958
0x82133E50,FUN_82133e50
0x821343E0,FUN_821343e0
0x82134E50,FUN_82134e50
0x82135018,FUN_82135018
0x821351C0,FUN_821351c0
0x82135890,FUN_82135890
0x82135DB0,FUN_82135db0
0x82135F48,FUN_82135f48
0x82136AF8,FUN_82136af8
0x82136E00,FUN_82136e00
0x821370F0,FUN_821370f0
0x82137260,FUN_82137260
0x821373D0,FUN_821373d0
0x82137450,FUN_82137450
0x82137698,FUN_82137698
0x82137860,FUN_82137860
0x82137928,FUN_82137928
0x82137C08,FUN_82137c08
0x82137CB8,FUN_82137cb8
0x82137CD0,FUN_82137cd0
0x82137F30,FUN_82137f30
0x82138040,FUN_82138040
0x82138388,FUN_82138388
0x821383D8,FUN_821383d8
0x82138570,FUN_82138570
0x821385C8,FUN_821385c8
0x82138628,FUN_82138628
0x82138710,FUN_82138710
0x821389D0,FUN_821389d0
0x82138C90,FUN_82138c90
0x82138E58,FUN_82138e58
0x82139108,FUN_82139108
0x82139DD0,FUN_82139dd0
0x8213AF40,FUN_8213af40
0x8213B048,FUN_8213b048
0x8213B6B8,FUN_8213b6b8
0x8213CB70,FUN_8213cb70
0x8213D2C8,FUN_8213d2c8
0x8213DC40,FUN_8213dc40
0x8213DF08,FUN_8213df08
0x8213DFB8,FUN_8213dfb8
0x8213E088,FUN_8213e088
0x8213E128,FUN_8213e128
0x8213E290,FUN_8213e290
0x8213E2D0,FUN_8213e2d0
0x8213E520,FUN_8213e520
0x8213E660,FUN_8213e660
0x8213E7A8,FUN_8213e7a8
0x8213E910,FUN_8213e910
0x8213EA78,FUN_8213ea78
0x8213F178,FUN_8213f178
0x8213F1A0,FUN_8213f1a0
0x82140D10,FUN_82140d10
0x821410E8,FUN_821410e8
0x82141170,FUN_82141170
0x82141570,FUN_82141570
0x82141890,FUN_82141890
0x82141B28,FUN_82141b28
0x82141E00,FUN_82141e00
0x82141F58,FUN_82141f58
0x821424D0,FUN_821424d0
0x82142530,FUN_82142530
0x82142588,FUN_82142588
0x821427D8,FUN_821427d8
0x82142AC8,FUN_82142ac8
0x821430E8,FUN_821430e8
0x82143E80,FUN_82143e80
0x82144520,FUN_82144520
0x82144D00,FUN_82144d00
0x821450C0,FUN_821450c0
0x82147168,FUN_82147168
0x82147A28,FUN_82147a28
0x82147E28,FUN_82147e28
0x82147E90,FUN_82147e90
0x82147F48,FUN_82147f48
0x82147FD0,FUN_82147fd0
0x82148038,FUN_82148038
0x82149320,FUN_82149320
0x821494B0,FUN_821494b0
0x82149890,FUN_82149890
0x8214AB10,FUN_8214ab10
0x8214AC20,FUN_8214ac20
0x8214AD08,FUN_8214ad08
0x8214AE00,FUN_8214ae00
0x8214B280,FUN_8214b280
0x8214B360,FUN_8214b360
0x8214B508,FUN_8214b508
0x8214B570,FUN_8214b570
0x8214B5D8,FUN_8214b5d8
0x8214B640,FUN_8214b640
0x8214B6A8,FUN_8214b6a8
0x8214C150,FUN_8214c150
0x8214C1F8,FUN_8214c1f8
0x8214C298,FUN_8214c298
0x8214C338,FUN_8214c338
0x8214C3E0,FUN_8214c3e0
0x8214C488,FUN_8214c488
0x8214CEC8,FUN_8214cec8
0x8214CF38,FUN_8214cf38
0x8214CF40,FUN_8214cf40
0x8214D888,FUN_8214d888
0x8214DB60,FUN_8214db60
0x8214DF90,FUN_8214df90
0x8214E710,FUN_8214e710
0x8214E9F0,FUN_8214e9f0
0x8214EC80,FUN_8214ec80
0x8214F058,FUN_8214f058
0x8214F5E0,FUN_8214f5e0
0x8214FB30,FUN_8214fb30
0x82150AB0,FUN_82150ab0
0x821516C8,FUN_821516c8
0x821524A8,FUN_821524a8
0x82152540,FUN_82152540
0x821525D8,FUN_821525d8
0x82152778,FUN_82152778
0x82152810,FUN_82152810
0x82152948,FUN_82152948
0x82152AA0,FUN_82152aa0
0x82153A30,FUN_82153a30
0x82153B78,FUN_82153b78
0x82153C08,FUN_82153c08
0x82153E38,FUN_82153e38
0x821541A0,FUN_821541a0
0x821545C0,FUN_821545c0
0x82155140,FUN_82155140
0x82155188,FUN_82155188
0x82155268,FUN_82155268
0x821552E8,FUN_821552e8
0x82155B50,FUN_82155b50
0x82156630,FUN_82156630
0x821566C8,FUN_821566c8
0x821571D8,FUN_821571d8
0x82157448,FUN_82157448
0x82157620,FUN_82157620
0x821576B8,FUN_821576b8
0x82157C40,FUN_82157c40
0x821586E8,FUN_821586e8
0x82158738,FUN_82158738
0x82158EC8,FUN_82158ec8
0x821591A0,FUN_821591a0
0x82159258,FUN_82159258
0x821592C0,FUN_821592c0
0x821595E8,FUN_821595e8
0x8215A588,FUN_8215a588
0x8215B9C0,FUN_8215b9c0
0x8215BB78,FUN_8215bb78
0x8215BD30,FUN_8215bd30
0x8215BDB8,FUN_8215bdb8
0x8215BF80,FUN_8215bf80
0x8215D798,FUN_8215d798
0x8215F560,FUN_8215f560
0x8215F6D0,FUN_8215f6d0
0x8215F998,FUN_8215f998
0x8215FC38,FUN_8215fc38
0x821602B8,FUN_821602b8
0x82161740,FUN_82161740
0x821618F8,FUN_821618f8
0x82161C70,FUN_82161c70
0x82162100,FUN_82162100
0x82162BF0,FUN_82162bf0
0x82163CF0,FUN_82163cf0
0x82164FC8,FUN_82164fc8
0x82165250,FUN_82165250
0x82166918,FUN_82166918
0x82166D78,FUN_82166d78
0x82167168,FUN_82167168
0x821676E0,FUN_821676e0
0x82167748,FUN_82167748
0x821677B8,FUN_821677b8
0x82167868,FUN_82167868
0x821678C0,FUN_821678c0
0x82167998,FUN_82167998
0x821679E0,FUN_821679e0
0x82167A38,FUN_82167a38
0x82167AF8,FUN_82167af8
0x82167C78,FUN_82167c78
0x82168028,FUN_82168028
