# GTA IV Vtables extracted by Ghidra
# Format: vtable_address,entry_count
0x82140CAC,5
0x82141C20,7
0x8214228C,6
0x821428A8,4
0x82144128,38
0x82144828,24
0x821498C8,254
0x82149DC4,160
0x8214A7C0,15
0x8214A8C4,13
0x8214C7F4,6
0x821518A0,205
0x82156738,39
0x82156F48,39
0x8215C0DC,57
0x8215DB18,228
0x821602FC,205
0x82160FE0,7
0x821611C8,4
0x8217B9A0,6
0x8218BF98,5
0x8219343C,4
0x82197B34,7
0x82197F8C,7
0x82198224,4
0x8219B214,13
0x821A4528,13
0x821A4B98,13
0x821AB370,6
0x821AFC28,8
0x821B2A3C,6
0x821B7A34,5
0x821B8C88,9
0x821C1244,4
0x821C598C,4
0x821CBFF8,54
0x821CC9C0,5
0x821CCAB0,5
0x821CCB50,5
0x821CDC54,7
0x821D1128,4
0x821D1D10,7
0x821D3D80,12
0x821D3F7C,12
0x821D52C4,8
0x821D6218,11
0x821D6500,11
0x821D7DD4,5
0x821D84B8,8
0x821D97A4,4
0x821DAB10,4
0x821DAB60,12
0x821DAC10,128
0x821DCC78,4
0x821DCD7C,5
0x821DCDD8,5
0x821DD9F8,246
0x821DFFE4,5
0x821E0DE4,6
0x821E202C,21
0x821E2BE4,54
0x821E3C8C,4
0x821E4DB4,15
0x821E5024,5
0x821E570C,13
0x821E5D44,8
0x821E6124,5
0x821E65E8,17
0x821E6DA4,4
0x821EC748,16
0x821EC7AC,26
0x821EC908,26
0x821ECC14,24
0x821ECD38,26
0x821ECE8C,26
0x821ECF7C,26
0x821ED08C,26
0x821EE1CC,15
0x821EE348,15
0x821EE4C8,15
0x821EE890,4
0x821EEB64,26
0x821EEF68,26
0x821EF180,26
0x821EF208,26
0x821EF504,26
0x821F0184,17
0x821F3988,7
0x821F6C20,5
0x821F71E0,6
0x821F97AC,11
0x821FA240,6
0x821FB2B0,7
0x821FB6B0,60
0x821FC18C,4
0x821FD7A0,6
0x821FFBE8,4
0x821FFC80,5
0x82207B24,47
0x82207CA0,47
0x82210018,9
0x822109FC,183
0x82210D58,154
0x82211A90,45
0x82211D58,5
0x82212008,5
0x822126E8,7
0x8221D73C,4
0x8221E00C,5
0x8221E39C,4
0x8221EFDC,3
0x82220398,5
0x8222058C,4
0x822231D4,8
0x8222C490,4
0x8222E6BC,9
0x822306F8,6
0x82233F00,78
0x82235AB4,13
0x8223711C,4
0x8223978C,23
0x8224121C,4
0x82241FB8,101
0x82247C00,6
0x82249340,5
0x82249C68,5
0x82249CA0,5
0x8224ABA8,4
0x8224AFE0,4
0x8224C83C,4
0x8224C8CC,4
0x8224CD28,29
0x8224CEBC,23
0x8224F228,30
0x8225005C,30
0x822503B8,61
0x82251B4C,24
0x82251BF4,38
0x82251CCC,38
0x8225359C,22
0x82253CD8,5
0x82255200,17
0x822554EC,4
0x82256588,4
0x8225B83C,4
0x8225BE10,4
